task,model,R2,sp_r,content_of_MAP
muscle,RL_3_cell,0.37844454587808235,0.6151784666892058,0
pc3,RL_3_cell,0.4415005053853056,0.6644550439159188,0
Andrev2015,RL_3_cell,0.3821240713077951,0.6181618487967331,0
pc3,RL_3_cell,0.47109676122068606,0.6863648892685916,0
Andrev2015,RL_3_cell,0.3946260019243466,0.6281926471428543,0
muscle,RL_3_cell,0.3238230681132675,0.5690545387862814,0
pc3,RL_3_cell,0.46910804496420694,0.6849146260405066,0
Andrev2015,RL_3_cell,0.3857794950191389,0.6211114996674421,0
muscle,RL_3_cell,0.3431674353163227,0.5858049464764895,0
Andrev2015,RL_3_cell,0.39415157505561543,0.6278149210202123,0
pc3,RL_3_cell,0.45374535363844076,0.6736062304035205,0
muscle,RL_3_cell,0.46767638049272736,0.6838686865859025,0
muscle,RL_3_cell,0.4177678362749235,0.6463496238684784,0
Andrev2015,RL_3_cell,0.40980706038427317,0.6401617454864615,0
pc3,RL_3_cell,0.43731195861161976,0.6612956665604424,0
Andrev2015,RL_3_cell,0.3947865743237586,0.6283204392057914,0
pc3,RL_3_cell,0.43316316098631863,0.6581513207358309,0
muscle,RL_3_cell,0.39250590711777406,0.6265029186825661,0
muscle,RL_3_cell,0.379266260726376,0.6158459715922285,0
Andrev2015,RL_3_cell,0.37423153013130844,0.6117446608931773,0
pc3,RL_3_cell,0.46048955709290573,0.6785938086166906,0
pc3,RL_3_cell,0.44786268466135065,0.669225436352617,0
Andrev2015,RL_3_cell,0.3832744376119168,0.61909162295408,0
muscle,RL_3_cell,0.41357505795937827,0.6430980158260312,0
pc3,RL_3_cell,0.45659851506542204,0.6757207374836309,0
muscle,RL_3_cell,0.3835314407795236,0.6192991528974697,0
Andrev2015,RL_3_cell,0.3714103770937937,0.6094344731747571,0
Andrev2015,RL_3_cell,0.39573490824437113,0.6290746444138177,0
muscle,RL_3_cell,0.4334136369639765,0.6583415807648614,0
pc3,RL_3_cell,0.4649894308831853,0.6819013351528103,0
human,SubHuman_3C,0.6740409999999999,0.821,1
Andrev2015,SubHuman_3C,0.393129,0.627,1
vleng,SubHuman_3C,0.519841,0.721,1
pc3,SubHuman_3C,0.4747209999999999,0.689,1
muscle,SubHuman_3C,0.0019359999999999,0.044,1
unmod1,SubHuman_3C,0.6822759999999999,0.826,1
human,SubHuman_3C,0.677329,0.823,1
Andrev2015,SubHuman_3C,0.403225,0.635,1
vleng,SubHuman_3C,0.508369,0.713,1
pc3,SubHuman_3C,0.4802489999999999,0.693,1
muscle,SubHuman_3C,0.016384,-0.128,1
unmod1,SubHuman_3C,0.6609689999999999,0.813,1
human,SubHuman_3C,0.6336160000000001,0.796,1
Andrev2015,SubHuman_3C,0.398161,0.631,1
vleng,SubHuman_3C,0.3457439999999999,0.588,1
pc3,SubHuman_3C,0.4719690000000001,0.687,1
muscle,SubHuman_3C,0.019321,-0.139,1
unmod1,SubHuman_3C,0.574564,0.758,1
human,SubHuman_3C,0.6577210000000001,0.811,1
Andrev2015,SubHuman_3C,0.407044,0.638,1
vleng,SubHuman_3C,0.5026809999999999,0.709,1
pc3,SubHuman_3C,0.4844159999999999,0.696,1
muscle,SubHuman_3C,0.003249,0.057,1
unmod1,SubHuman_3C,0.6448090000000001,0.803,1
human,SubHuman_no_M,0.6658559999999999,0.816,2
Andrev2015,SubHuman_no_M,0.391876,0.626,2
vleng,SubHuman_no_M,0.443556,0.666,2
pc3,SubHuman_no_M,0.4733439999999999,0.688,2
unmod1,SubHuman_no_M,0.6496360000000001,0.806,2
human,SubHuman_no_M,0.6400000000000001,0.8,2
Andrev2015,SubHuman_no_M,0.400689,0.633,2
vleng,SubHuman_no_M,0.417316,0.646,2
pc3,SubHuman_no_M,0.446224,0.668,2
unmod1,SubHuman_no_M,0.6336160000000001,0.796,2
human,SubHuman_no_M,0.6512490000000001,0.807,2
Andrev2015,SubHuman_no_M,0.388129,0.623,2
vleng,SubHuman_no_M,0.455625,0.675,2
pc3,SubHuman_no_M,0.4844159999999999,0.696,2
unmod1,SubHuman_no_M,0.6384010000000001,0.799,2
human,SubHuman_no_M,0.6512490000000001,0.807,2
Andrev2015,SubHuman_no_M,0.400689,0.633,2
vleng,SubHuman_no_M,0.4733439999999999,0.688,2
pc3,SubHuman_no_M,0.4830249999999999,0.695,2
unmod1,SubHuman_no_M,0.6336160000000001,0.796,2
Andrev2015,Human_no_M,0.419904,0.648,3
vleng,Human_no_M,0.5760810000000001,0.759,3
human,Human_no_M,0.7569,0.87,3
pc3,Human_no_M,0.4886009999999999,0.699,3
unmod1,Human_no_M,0.786769,0.887,3
Andrev2015,Human_no_M,0.414736,0.644,3
vleng,Human_no_M,0.602176,0.776,3
human,Human_no_M,0.755161,0.869,3
pc3,Human_no_M,0.456976,0.676,3
unmod1,Human_no_M,0.7744,0.88,3
Andrev2015,Human_no_M,0.400689,0.633,3
vleng,Human_no_M,0.567009,0.753,3
human,Human_no_M,0.7569,0.87,3
pc3,Human_no_M,0.4733439999999999,0.688,3
unmod1,Human_no_M,0.7779240000000001,0.882,3
human,2Sub2cell,0.6740409999999999,0.821,4
Andrev2015,2Sub2cell,0.3340839999999999,0.578,4
vleng,2Sub2cell,0.6512490000000001,0.807,4
pc3,2Sub2cell,0.010816,-0.104,4
human,2Sub2cell,0.690561,0.831,4
Andrev2015,2Sub2cell,0.3636089999999999,0.603,4
vleng,2Sub2cell,0.6577210000000001,0.811,4
pc3,2Sub2cell,0.011236,0.106,4
human,2Sub2cell,0.6822759999999999,0.826,4
Andrev2015,2Sub2cell,0.361201,0.601,4
vleng,2Sub2cell,0.6480250000000001,0.805,4
pc3,2Sub2cell,0.0013689999999999,-0.037,4
human,2Sub2cell,0.6691239999999999,0.818,4
Andrev2015,2Sub2cell,0.355216,0.596,4
vleng,2Sub2cell,0.6544810000000001,0.809,4
pc3,2Sub2cell,0.039204,-0.198,4
Andrev2015,SvH_AP,0.358801,0.599,5
vleng,SvH_AP,0.6740409999999999,0.821,5
vleng,SvH_AP,0.6400000000000001,0.8,5
human,SvH_AP,0.755161,0.869,5
pc3,SvH_AP,0.001681,0.041,5
unmod1,SvH_AP,0.7974490000000001,0.893,5
Andrev2015,SvH_AP,0.357604,0.598,5
vleng,SvH_AP,0.6723999999999999,0.82,5
vleng,SvH_AP,0.6320250000000001,0.795,5
human,SvH_AP,0.776161,0.881,5
pc3,SvH_AP,0.002304,-0.048,5
unmod1,SvH_AP,0.819025,0.905,5
Andrev2015,SvH_AP,0.36,0.6,5
vleng,SvH_AP,0.6740409999999999,0.821,5
vleng,SvH_AP,0.6544810000000001,0.809,5
human,SvH_AP,0.763876,0.874,5
pc3,SvH_AP,1.6e-05,-0.004,5
unmod1,SvH_AP,0.81,0.9,5
Andrev2015,SvH_AP,0.369664,0.608,5
vleng,SvH_AP,0.677329,0.823,5
vleng,SvH_AP,0.6416010000000001,0.801,5
human,SvH_AP,0.7744,0.88,5
pc3,SvH_AP,0.001089,0.033,5
unmod1,SvH_AP,0.819025,0.905,5
Andrev2015,RL_6_data,0.0009,-0.03,6
vleng,RL_6_data,0.806404,0.898,6
human,RL_6_data,0.819025,0.905,6
pc3,RL_6_data,0.017424,-0.132,6
muscle,RL_6_data,0.011236,0.106,6
unmod1,RL_6_data,0.912025,0.955,6
Andrev2015,RL_6_data,0.000144,-0.012,6
vleng,RL_6_data,0.8082010000000001,0.899,6
human,RL_6_data,0.820836,0.906,6
pc3,RL_6_data,0.0081,0.09,6
muscle,RL_6_data,0.008649,-0.093,6
unmod1,RL_6_data,0.915849,0.957,6
Andrev2015,RL_6_data,3.6e-05,0.006,6
vleng,RL_6_data,0.806404,0.898,6
human,RL_6_data,0.820836,0.906,6
pc3,RL_6_data,0.0007289999999999,-0.027,6
muscle,RL_6_data,0.0144,-0.12,6
unmod1,RL_6_data,0.912025,0.955,6
Andrev2015,RL_6_data,0.003249,0.057,6
vleng,RL_6_data,0.813604,0.902,6
human,RL_6_data,0.8244640000000001,0.908,6
pc3,RL_6_data,0.047089,-0.217,6
muscle,RL_6_data,0.007225,-0.085,6
unmod1,RL_6_data,0.908209,0.953,6
Andrev2015,RL_6_data,0.001764,0.042,6
vleng,RL_6_data,0.804609,0.897,6
human,RL_6_data,0.8226490000000001,0.907,6
pc3,RL_6_data,0.0009609999999999,-0.031,6
muscle,RL_6_data,0.000289,0.017,6
unmod1,RL_6_data,0.912025,0.955,6
Andrev2015,RL_6_data,4.9000000000000005e-05,0.007,6
vleng,RL_6_data,0.8028160000000001,0.896,6
human,RL_6_data,0.820836,0.906,6
pc3,RL_6_data,0.000841,0.029,6
muscle,RL_6_data,0.0077439999999999,0.088,6
unmod1,RL_6_data,0.912025,0.955,6
unmod1,RL_3_MAP,0.940189859273138,,7
unmod1,RL_3_MAP,0.9415782267837862,,7
unmod1,RL_3_MAP,0.9419950079513632,,7
unmod1,RL_3_MAP,0.94224749521712,,7
unmod1,RL_3_MAP,0.9432278522994352,,7
unmod1,RL_3_MAP,0.9421366395136191,,7
unmod1,RL_3_MAP,0.9424715104723694,,7
unmod1,RL_3_MAP,0.941508195858107,,7
unmod1,RL_3_MAP,0.9429143506198548,,7
unmod1,RL_3_MAP,0.941939612530924,,7
human,RL_3_MAP,0.8378456782972048,,7
human,RL_3_MAP,0.8306027700984722,,7
human,RL_3_MAP,0.8337709383722145,,7
human,RL_3_MAP,0.8317643948020703,,7
human,RL_3_MAP,0.8296140633711021,,7
human,RL_3_MAP,0.8388739439076068,,7
human,RL_3_MAP,0.8367847379247892,,7
human,RL_3_MAP,0.8321740773293907,,7
human,RL_3_MAP,0.8348781999383484,,7
human,RL_3_MAP,0.832879432514383,,7
vleng,RL_3_MAP,0.8671372243527589,,7
vleng,RL_3_MAP,0.8678712486110136,,7
vleng,RL_3_MAP,0.8742075974231659,,7
vleng,RL_3_MAP,0.8702780827302488,,7
vleng,RL_3_MAP,0.871544319928653,,7
vleng,RL_3_MAP,0.8735776740871993,,7
vleng,RL_3_MAP,0.8760561301182787,,7
vleng,RL_3_MAP,0.8694868293286471,,7
vleng,RL_3_MAP,0.8706258774399759,,7
vleng,RL_3_MAP,0.8711668583395183,,7
