,channel,Pearson_correlation,spearman_correlation
0,0,0.218,0.244
1,1,-0.074,-0.009
2,2,-0.186,-0.152
3,3,-0.145,-0.174
4,4,0.29,0.32
5,5,-0.048,-0.014
6,6,0.192,0.194
7,7,0.09,0.128
8,8,0.036,0.041
9,9,0.175,0.177
10,10,0.044,0.066
11,11,0.132,0.148
12,12,-0.237,-0.254
13,13,0.2,0.194
14,14,0.197,0.18
15,15,-0.243,-0.243
16,16,-0.023,-0.057
17,17,0.062,0.06
18,18,0.094,0.085
19,19,0.129,0.166
20,20,0.121,0.127
21,21,0.108,0.147
22,22,0.199,0.208
23,23,0.166,0.167
24,24,-0.119,-0.149
25,25,-0.007,-0.021
26,26,0.178,0.205
27,27,0.244,0.258
28,28,-0.121,-0.179
29,29,-0.319,-0.308
30,30,0.161,0.194
31,31,-0.224,-0.246
32,32,-0.271,-0.241
33,33,-0.01,-0.02
34,34,0.104,0.126
35,35,0.231,0.262
36,36,-0.045,-0.048
37,37,0.175,0.185
38,38,0.093,0.134
39,39,-0.001,0.024
40,40,-0.146,-0.175
41,41,0.117,0.141
42,42,0.282,0.316
43,43,0.035,0.07
44,44,-0.138,-0.103
45,45,0.078,0.085
46,46,-0.281,-0.251
47,47,-0.002,-0.009
48,48,-0.054,-0.039
49,49,-0.06,-0.072
50,50,0.032,0.014
51,51,0.099,0.088
52,52,-0.15,-0.147
53,53,0.079,0.084
54,54,-0.22,-0.201
55,55,-0.092,-0.082
56,56,0.152,0.186
57,57,-0.358,-0.319
58,58,-0.121,-0.09
59,59,0.288,0.308
60,60,0.275,0.3
61,61,-0.195,-0.231
62,62,0.182,0.199
63,63,-0.347,-0.328
64,64,0.057,0.054
65,65,0.07,0.062
66,66,0.005,0.03
67,67,-0.116,-0.044
68,68,-0.14,-0.153
69,69,-0.043,-0.005
70,70,0.045,0.05
71,71,0.29,0.324
72,72,0.0,-0.01
73,73,-0.035,-0.051
74,74,0.128,0.168
75,75,0.06,0.109
76,76,0.234,0.24
77,77,0.055,0.049
78,78,0.005,0.016
79,79,0.006,0.02
80,80,-0.187,-0.219
81,81,0.142,0.161
82,82,-0.314,-0.315
83,83,-0.174,-0.168
84,84,-0.062,-0.026
85,85,0.031,0.046
86,86,-0.462,-0.463
87,87,0.216,0.214
88,88,-0.193,-0.225
89,89,-0.013,-0.017
90,90,-0.015,-0.002
91,91,0.022,0.007
92,92,-0.027,-0.011
93,93,0.178,0.199
94,94,-0.04,-0.045
95,95,0.206,0.22
96,96,0.222,0.262
97,97,0.132,0.113
98,98,-0.059,-0.064
99,99,-0.238,-0.23
100,100,0.086,0.077
101,101,-0.013,-0.01
102,102,-0.28,-0.269
103,103,-0.015,-0.003
104,104,-0.414,-0.416
105,105,-0.243,-0.215
106,106,0.242,0.252
107,107,0.1,0.113
108,108,0.19,0.211
109,109,0.035,0.07
110,110,-0.076,-0.105
111,111,0.205,0.22
112,112,-0.209,-0.198
113,113,0.189,0.188
114,114,-0.206,-0.177
115,115,0.143,0.144
116,116,-0.292,-0.303
117,117,0.184,0.224
118,118,-0.132,-0.146
119,119,0.068,0.06
120,120,-0.047,0.037
121,121,0.213,0.242
122,122,-0.094,-0.132
123,123,0.043,0.019
124,124,0.114,0.144
125,125,-0.416,-0.406
126,126,0.004,-0.017
127,127,0.024,0.063
128,128,-0.387,-0.377
129,129,-0.225,-0.269
130,130,-0.422,-0.361
131,131,-0.041,-0.041
132,132,-0.125,-0.108
133,133,-0.17,-0.17
134,134,0.144,0.144
135,135,0.031,0.05
136,136,-0.008,-0.025
137,137,-0.013,0.024
138,138,0.239,0.254
139,139,-0.131,-0.185
140,140,-0.028,-0.03
141,141,-0.015,-0.032
142,142,-0.367,-0.388
143,143,0.11,0.13
144,144,-0.419,-0.417
145,145,0.145,0.172
146,146,-0.14,-0.19
147,147,0.017,0.02
148,148,-0.137,-0.05
149,149,-0.02,-0.017
150,150,-0.057,-0.074
151,151,0.096,0.109
152,152,-0.045,-0.063
153,153,0.125,0.131
154,154,-0.131,-0.122
155,155,-0.032,-0.046
156,156,-0.076,-0.116
157,157,0.075,0.086
158,158,0.185,0.198
159,159,0.182,0.204
160,160,0.095,0.085
161,161,0.106,0.144
162,162,-0.049,-0.053
163,163,0.236,0.251
164,164,0.071,0.095
165,165,0.165,0.192
166,166,0.031,0.018
167,167,0.235,0.232
168,168,-0.336,-0.25
169,169,0.22,0.273
170,170,0.094,0.088
171,171,0.263,0.307
172,172,0.148,0.155
173,173,0.0,-0.011
174,174,-0.229,-0.243
175,175,0.149,0.186
176,176,-0.172,-0.112
177,177,0.138,0.155
178,178,-0.102,-0.12
179,179,0.209,0.215
180,180,0.083,0.117
181,181,-0.029,-0.024
182,182,-0.03,-0.065
183,183,0.03,0.033
184,184,0.042,0.046
185,185,0.175,0.194
186,186,-0.016,-0.004
187,187,-0.137,-0.152
188,188,-0.382,-0.32
189,189,0.104,0.097
190,190,0.066,0.039
191,191,0.096,0.119
192,192,0.291,0.337
193,193,0.039,0.039
194,194,0.102,0.113
195,195,-0.31,-0.27
196,196,-0.192,-0.189
197,197,-0.453,-0.454
198,198,-0.293,-0.228
199,199,0.291,0.308
200,200,0.17,0.186
201,201,0.075,0.088
202,202,0.116,0.122
203,203,0.306,0.34
204,204,0.032,0.035
205,205,-0.38,-0.4
206,206,0.025,0.064
207,207,0.229,0.242
208,208,0.114,0.118
209,209,-0.057,-0.069
210,210,0.131,0.13
211,211,0.018,0.001
212,212,0.192,0.212
213,213,0.206,0.241
214,214,0.15,0.147
215,215,0.107,0.103
216,216,-0.051,-0.055
217,217,0.064,0.049
218,218,-0.225,-0.261
219,219,-0.017,-0.029
220,220,0.156,0.177
221,221,0.281,0.31
222,222,-0.108,-0.125
223,223,0.053,0.115
224,224,-0.478,-0.479
225,225,-0.168,-0.169
226,226,-0.17,-0.197
227,227,0.067,0.091
228,228,-0.31,-0.326
229,229,-0.23,-0.26
230,230,0.055,0.056
231,231,0.147,0.151
232,232,-0.448,-0.467
233,233,-0.11,-0.05
234,234,0.132,0.15
235,235,0.173,0.2
236,236,0.172,0.191
237,237,-0.368,-0.323
238,238,0.249,0.278
239,239,0.064,0.079
240,240,-0.153,-0.145
241,241,-0.348,-0.348
242,242,-0.311,-0.253
243,243,0.016,0.062
244,244,-0.011,0.01
245,245,-0.133,-0.143
246,246,0.154,0.162
247,247,0.124,0.164
248,248,0.116,0.111
249,249,0.287,0.333
250,250,0.223,0.226
251,251,0.13,0.117
252,252,-0.174,-0.112
253,253,0.042,0.081
254,254,0.208,0.226
255,255,0.108,0.077
