Andrev2015,pc3,muscle,human,vleng,channel_name
-0.026,-0.049,-0.081,-0.188,-0.092,filter_0
-0.007,-0.003,-0.055,0.089,-0.034,filter_1
0.028,0.064,-0.072,0.162,-0.015,filter_2
0.01,-0.03,-0.038,-0.044,0.018,filter_3
-0.065,-0.051,-0.121,-0.109,-0.127,filter_4
0.017,0.007,-0.018,-0.032,-0.024,filter_5
0.021,0.063,-0.018,0.157,-0.006,filter_6
0.051,0.07,0.034,0.077,-0.061,filter_7
0.062,0.057,-0.028,-0.035,0.021,filter_8
-0.018,0.028,0.033,0.146,0.032,filter_9
-0.007,-0.068,-0.055,-0.254,-0.169,filter_10
-0.072,-0.016,-0.01,-0.026,-0.276,filter_11
-0.003,0.014,-0.069,-0.044,-0.041,filter_12
-0.085,-0.09,-0.045,-0.266,-0.312,filter_13
-0.028,0.019,-0.003,-0.032,-0.072,filter_14
0.041,0.086,-0.12,0.131,-0.027,filter_15
-0.091,-0.149,-0.137,-0.376,-0.299,filter_16
0.005,0.012,-0.031,0.106,-0.055,filter_17
-0.07,-0.062,-0.051,-0.118,-0.169,filter_18
-0.04,-0.063,-0.107,-0.248,-0.236,filter_19
-0.024,-0.014,0.049,-0.123,-0.063,filter_20
0.01,-0.02,-0.082,-0.141,-0.104,filter_21
-0.108,-0.077,-0.097,-0.221,-0.329,filter_22
-0.018,-0.007,0.004,0.071,0.06,filter_23
-0.02,-0.05,-0.039,-0.266,-0.194,filter_24
0.049,0.02,0.052,-0.039,0.04,filter_25
0.03,0.067,-0.176,0.199,0.014,filter_26
-0.044,-0.018,-0.098,-0.008,-0.125,filter_27
-0.026,-0.009,-0.117,-0.074,-0.162,filter_28
0.007,-0.005,-0.02,0.04,0.026,filter_29
-0.005,-0.019,-0.024,0.045,-0.044,filter_30
0.004,0.008,0.067,0.154,0.066,filter_31
-0.034,-0.077,-0.054,-0.232,-0.043,filter_32
-0.042,-0.077,-0.086,-0.26,-0.233,filter_33
-0.041,-0.105,-0.032,-0.179,0.015,filter_34
-0.016,0.013,0.06,-0.078,-0.006,filter_35
-0.016,0.03,-0.009,0.175,0.006,filter_36
-0.014,0.021,-0.029,0.066,-0.024,filter_37
0.041,0.002,0.102,-0.041,0.03,filter_38
-0.066,-0.047,0.067,-0.096,-0.086,filter_39
-0.001,-0.053,-0.007,-0.169,-0.018,filter_40
-0.003,-0.049,-0.064,-0.147,-0.113,filter_41
-0.092,-0.143,-0.09,-0.294,-0.109,filter_42
-0.03,-0.086,0.025,-0.142,-0.017,filter_43
-0.01,-0.01,-0.04,-0.099,-0.003,filter_44
-0.038,-0.065,0.018,-0.172,-0.012,filter_45
-0.075,-0.074,-0.01,-0.281,-0.178,filter_46
-0.039,-0.076,0.07,-0.19,-0.072,filter_47
0.004,0.015,0.105,-0.053,0.048,filter_48
0.019,0.059,-0.086,0.154,-0.078,filter_49
-0.016,0.06,-0.081,0.062,-0.195,filter_50
-0.041,-0.084,-0.013,-0.282,-0.038,filter_51
-0.054,-0.089,-0.021,-0.217,-0.108,filter_52
-0.018,0.007,-0.104,-0.071,-0.073,filter_53
0.004,0.035,-0.129,0.143,-0.005,filter_54
-0.042,-0.01,-0.158,-0.169,-0.197,filter_55
0.001,-0.015,0.016,-0.038,-0.001,filter_56
-0.016,-0.062,-0.111,-0.135,-0.041,filter_57
-0.02,-0.078,-0.013,-0.21,-0.05,filter_58
0.02,0.082,-0.043,0.067,0.028,filter_59
-0.007,0.016,0.066,0.002,-0.005,filter_60
-0.043,-0.029,-0.085,-0.237,-0.221,filter_61
0.019,0.047,-0.09,0.176,-0.04,filter_62
0.043,0.024,-0.151,-0.021,-0.056,filter_63
-0.08,-0.028,-0.094,-0.05,-0.251,filter_64
-0.015,0.02,-0.053,0.051,-0.055,filter_65
-0.005,0.042,-0.116,0.116,-0.044,filter_66
0.001,0.021,-0.084,0.034,-0.005,filter_67
-0.029,-0.094,-0.024,-0.217,-0.035,filter_68
-0.016,-0.065,-0.137,-0.222,-0.124,filter_69
-0.008,0.029,-0.136,0.124,-0.051,filter_70
0.034,0.091,0.026,0.238,0.017,filter_71
-0.064,-0.052,-0.082,-0.289,-0.349,filter_72
-0.061,-0.113,-0.104,-0.361,-0.13,filter_73
-0.069,-0.118,-0.135,-0.173,-0.097,filter_74
-0.041,-0.054,0.071,-0.028,-0.032,filter_75
-0.013,-0.065,-0.016,-0.112,0.024,filter_76
-0.006,0.02,0.113,0.012,0.038,filter_77
-0.017,-0.052,0.01,-0.105,-0.054,filter_78
-0.025,0.012,-0.119,-0.053,-0.188,filter_79
-0.014,0.035,-0.061,0.119,-0.072,filter_80
-0.001,-0.063,-0.076,-0.194,-0.008,filter_81
-0.032,0.019,-0.054,0.053,-0.124,filter_82
-0.037,-0.061,-0.011,-0.127,-0.087,filter_83
0.015,0.081,-0.048,0.164,-0.017,filter_84
-0.025,-0.04,-0.096,-0.096,-0.066,filter_85
-0.07,-0.102,-0.045,-0.297,-0.156,filter_86
0.036,0.085,-0.049,0.23,0.022,filter_87
0.034,0.008,0.081,0.011,0.033,filter_88
-0.034,-0.024,-0.083,-0.146,-0.159,filter_89
-0.064,-0.054,-0.059,-0.253,-0.336,filter_90
-0.083,-0.141,-0.048,-0.384,-0.313,filter_91
-0.033,-0.006,-0.102,-0.005,-0.149,filter_92
0.009,0.039,0.037,0.064,0.011,filter_93
-0.004,0.043,0.026,-0.026,0.042,filter_94
0.02,0.095,-0.198,0.191,-0.031,filter_95
-0.051,-0.045,0.017,-0.101,-0.096,filter_96
-0.025,-0.002,-0.052,-0.122,-0.144,filter_97
0.012,0.002,0.044,-0.021,0.049,filter_98
-0.028,-0.029,-0.066,0.06,-0.033,filter_99
-0.057,-0.124,-0.056,-0.274,-0.039,filter_100
0.051,0.069,-0.148,0.057,-0.013,filter_101
-0.021,-0.028,-0.001,-0.208,-0.143,filter_102
-0.072,-0.061,-0.133,-0.243,-0.235,filter_103
-0.086,-0.118,-0.095,-0.349,-0.274,filter_104
0.017,0.032,-0.136,0.144,-0.008,filter_105
0.011,0.084,-0.154,0.215,0.003,filter_106
-0.024,-0.002,-0.011,-0.042,0.002,filter_107
-0.003,-0.07,-0.087,-0.153,-0.031,filter_108
-0.019,0.048,-0.072,0.163,0.001,filter_109
-0.036,-0.033,-0.057,-0.165,-0.189,filter_110
0.013,0.004,0.022,0.057,-0.013,filter_111
0.012,-0.054,-0.055,-0.181,-0.021,filter_112
0.015,0.093,-0.057,0.137,0.018,filter_113
-0.095,-0.126,-0.108,-0.358,-0.37,filter_114
-0.008,0.034,0.026,0.097,0.05,filter_115
0.018,0.029,-0.086,-0.029,0.024,filter_116
-0.037,0.012,-0.022,0.017,0.02,filter_117
-0.033,-0.065,-0.15,-0.155,-0.075,filter_118
-0.016,0.052,-0.07,0.1,-0.067,filter_119
0.015,0.029,0.037,0.02,0.061,filter_120
-0.023,-0.004,-0.096,0.033,-0.124,filter_121
0.023,0.023,-0.01,0.068,-0.008,filter_122
0.017,0.062,0.073,0.186,0.038,filter_123
0.012,0.07,-0.129,0.244,0.016,filter_124
-0.073,-0.098,-0.142,-0.257,-0.325,filter_125
-0.034,-0.033,-0.128,-0.128,-0.222,filter_126
0.025,0.049,-0.084,0.178,-0.027,filter_127
-0.056,-0.056,-0.108,0.006,-0.159,filter_128
-0.051,-0.059,-0.156,-0.111,-0.171,filter_129
0.045,0.095,-0.122,0.283,0.027,filter_130
0.024,0.106,-0.16,0.247,-0.012,filter_131
-0.013,0.055,-0.062,0.19,0.011,filter_132
-0.057,-0.113,-0.018,-0.243,-0.092,filter_133
-0.015,-0.058,-0.095,-0.179,-0.079,filter_134
0.01,0.078,-0.143,0.173,-0.026,filter_135
-0.027,-0.039,-0.07,-0.142,-0.108,filter_136
-0.015,0.003,-0.018,0.027,-0.09,filter_137
-0.03,0.005,-0.109,0.01,-0.099,filter_138
0.012,-0.033,0.013,-0.091,-0.039,filter_139
-0.044,-0.123,0.0,-0.321,-0.217,filter_140
0.007,0.015,-0.054,0.045,0.017,filter_141
-0.049,-0.033,-0.14,-0.083,-0.139,filter_142
-0.069,-0.119,-0.048,-0.267,-0.162,filter_143
-0.062,-0.055,-0.159,-0.192,-0.305,filter_144
-0.022,-0.053,-0.081,-0.104,0.006,filter_145
0.007,0.072,0.002,0.18,-0.011,filter_146
-0.002,0.026,0.005,0.04,0.017,filter_147
-0.058,-0.019,-0.129,-0.063,-0.269,filter_148
0.013,-0.011,-0.042,-0.114,-0.053,filter_149
0.024,0.066,-0.144,0.08,-0.023,filter_150
-0.042,-0.076,0.018,-0.261,-0.133,filter_151
-0.028,-0.013,-0.06,-0.092,-0.161,filter_152
0.039,0.1,-0.124,0.216,0.026,filter_153
-0.043,-0.011,0.003,-0.141,-0.205,filter_154
0.02,0.052,-0.034,0.027,-0.079,filter_155
-0.022,0.002,-0.1,-0.002,-0.093,filter_156
0.036,0.115,-0.099,0.285,0.021,filter_157
0.012,0.051,-0.087,0.072,-0.022,filter_158
-0.047,0.026,-0.023,0.045,-0.138,filter_159
-0.019,-0.01,-0.02,0.023,0.002,filter_160
-0.001,0.006,-0.129,-0.037,-0.135,filter_161
0.017,0.013,-0.125,-0.05,-0.106,filter_162
0.017,0.07,-0.076,0.138,-0.066,filter_163
-0.027,0.049,-0.013,0.157,-0.01,filter_164
-0.039,-0.106,-0.009,-0.277,-0.126,filter_165
0.04,0.085,-0.125,0.162,-0.013,filter_166
-0.02,0.04,-0.075,0.084,-0.113,filter_167
-0.046,-0.027,-0.04,-0.108,-0.022,filter_168
-0.048,-0.113,-0.111,-0.092,-0.031,filter_169
0.032,0.089,-0.198,0.27,0.005,filter_170
0.016,0.049,-0.113,0.263,-0.042,filter_171
-0.091,-0.145,-0.107,-0.378,-0.257,filter_172
-0.037,-0.036,-0.071,0.002,0.04,filter_173
-0.05,-0.124,-0.056,-0.322,-0.079,filter_174
-0.052,0.015,-0.037,-0.053,-0.158,filter_175
-0.018,-0.039,-0.081,-0.167,-0.021,filter_176
0.008,-0.001,-0.13,0.036,0.012,filter_177
-0.012,-0.038,-0.075,-0.036,0.02,filter_178
0.001,0.007,0.056,-0.078,0.03,filter_179
-0.068,-0.046,-0.059,-0.12,-0.223,filter_180
0.015,0.092,-0.104,0.229,0.013,filter_181
0.013,0.032,-0.01,0.079,-0.019,filter_182
-0.011,0.076,-0.13,0.25,-0.039,filter_183
-0.077,-0.017,-0.045,-0.212,-0.379,filter_184
-0.002,0.096,-0.09,0.253,-0.0,filter_185
0.006,0.077,-0.115,0.177,0.014,filter_186
-0.027,0.032,-0.06,0.085,-0.138,filter_187
-0.024,-0.026,0.01,-0.156,-0.08,filter_188
-0.096,-0.131,-0.058,-0.443,-0.413,filter_189
-0.016,-0.006,-0.115,0.017,-0.125,filter_190
-0.052,-0.084,-0.119,-0.278,-0.257,filter_191
-0.046,-0.085,-0.032,-0.248,-0.128,filter_192
-0.09,-0.132,-0.068,-0.331,-0.237,filter_193
-0.018,-0.021,-0.155,0.054,-0.024,filter_194
0.049,0.131,-0.043,0.275,0.071,filter_195
-0.058,-0.072,-0.021,-0.159,-0.172,filter_196
-0.042,-0.031,-0.051,-0.204,-0.212,filter_197
0.0,-0.012,-0.058,-0.047,-0.028,filter_198
0.02,0.069,-0.144,0.223,-0.063,filter_199
-0.001,0.011,-0.03,-0.026,-0.095,filter_200
-0.035,-0.094,-0.059,-0.175,-0.031,filter_201
-0.059,0.011,-0.035,-0.113,-0.241,filter_202
0.005,0.024,0.016,0.03,-0.017,filter_203
0.057,0.061,-0.158,0.27,0.056,filter_204
-0.02,-0.084,-0.034,-0.236,-0.077,filter_205
-0.022,-0.024,0.025,-0.09,-0.023,filter_206
-0.049,-0.069,-0.1,-0.206,-0.181,filter_207
0.013,0.046,0.008,0.145,0.048,filter_208
0.031,0.04,-0.176,-0.037,-0.063,filter_209
-0.029,0.009,-0.098,-0.148,-0.181,filter_210
-0.009,0.01,-0.138,0.162,0.007,filter_211
-0.044,-0.025,-0.107,-0.065,-0.269,filter_212
-0.092,-0.125,-0.046,-0.392,-0.368,filter_213
0.028,0.102,-0.039,0.183,0.0,filter_214
-0.026,-0.025,-0.108,-0.131,-0.122,filter_215
-0.006,0.022,-0.006,-0.072,-0.054,filter_216
-0.082,-0.127,-0.127,-0.357,-0.316,filter_217
-0.004,0.023,0.061,0.055,0.014,filter_218
-0.076,-0.068,0.002,-0.208,-0.113,filter_219
-0.023,-0.018,-0.044,-0.125,-0.113,filter_220
-0.027,-0.102,-0.056,-0.262,-0.089,filter_221
0.047,0.084,-0.015,0.156,0.069,filter_222
0.003,0.015,0.052,0.067,-0.007,filter_223
0.0,-0.078,-0.135,-0.282,-0.138,filter_224
-0.074,-0.055,-0.048,-0.224,-0.274,filter_225
-0.002,0.025,-0.149,-0.06,-0.218,filter_226
-0.042,-0.056,-0.061,-0.002,-0.13,filter_227
-0.0,0.01,-0.052,-0.02,-0.014,filter_228
-0.105,-0.103,-0.077,-0.267,-0.36,filter_229
-0.001,0.063,-0.172,0.135,-0.048,filter_230
-0.006,-0.015,-0.007,0.056,0.013,filter_231
-0.028,0.002,0.012,0.002,-0.024,filter_232
0.006,0.045,-0.058,0.072,-0.075,filter_233
-0.006,-0.006,0.032,0.03,0.063,filter_234
-0.01,0.013,-0.033,-0.112,-0.198,filter_235
-0.009,-0.007,-0.161,-0.026,0.06,filter_236
-0.024,-0.005,-0.058,-0.005,-0.112,filter_237
0.018,0.007,-0.055,-0.052,-0.001,filter_238
0.011,0.012,0.064,-0.0,0.04,filter_239
-0.001,-0.002,-0.028,0.008,-0.094,filter_240
0.009,0.04,-0.113,0.19,0.011,filter_241
0.023,-0.003,-0.184,-0.133,-0.059,filter_242
-0.057,-0.119,0.036,-0.334,-0.109,filter_243
-0.003,0.077,-0.167,0.085,-0.153,filter_244
-0.045,-0.012,0.009,-0.036,-0.095,filter_245
-0.016,0.041,-0.107,0.075,-0.094,filter_246
0.029,0.05,-0.123,0.159,-0.066,filter_247
-0.072,-0.073,-0.082,-0.136,-0.17,filter_248
-0.028,-0.071,-0.047,-0.279,-0.146,filter_249
-0.072,-0.08,-0.061,-0.217,-0.126,filter_250
-0.019,-0.038,-0.085,-0.154,-0.049,filter_251
0.018,0.083,-0.126,0.242,0.005,filter_252
-0.042,-0.044,-0.122,-0.172,-0.116,filter_253
0.008,0.071,-0.138,0.168,-0.083,filter_254
-0.103,-0.089,-0.107,-0.366,-0.469,filter_255
-0.003,0.018,-0.042,-0.006,-0.051,filter_256
