unmod1,human,vleng,Andrev2015,pc3,channel_name
0.046,0.025,0.041,0.017,0.009,filter_0
-0.111,-0.331,-0.127,-0.062,-0.129,filter_1
0.017,0.01,-0.043,-0.03,0.025,filter_2
0.037,-0.142,0.005,-0.023,-0.047,filter_3
-0.3,-0.35,-0.317,-0.109,-0.148,filter_4
0.028,-0.013,-0.024,-0.013,-0.017,filter_5
,,,,,filter_6
-0.118,0.118,-0.138,0.003,0.05,filter_7
-0.093,0.127,-0.12,0.001,0.046,filter_8
0.092,0.08,0.063,0.04,0.052,filter_9
-0.15,0.068,-0.15,-0.028,0.061,filter_10
0.001,0.17,-0.034,-0.018,0.064,filter_11
0.048,0.019,0.007,-0.003,-0.011,filter_12
0.08,0.098,0.03,0.033,0.083,filter_13
0.035,-0.189,0.013,-0.022,-0.063,filter_14
0.051,-0.093,0.022,-0.007,-0.008,filter_15
-0.089,0.134,-0.08,-0.003,0.03,filter_16
0.021,0.099,0.003,0.017,0.041,filter_17
0.034,0.12,-0.04,0.024,0.06,filter_18
0.049,0.068,-0.011,0.019,0.069,filter_19
-0.253,-0.324,-0.277,-0.089,-0.128,filter_20
0.084,0.264,0.042,0.067,0.088,filter_21
0.045,-0.061,0.043,-0.023,-0.053,filter_22
-0.055,0.02,-0.068,0.039,0.033,filter_23
0.064,-0.062,0.036,-0.038,-0.035,filter_24
0.114,0.324,0.049,-0.007,0.103,filter_25
0.032,-0.044,0.007,0.021,-0.031,filter_26
0.08,0.307,0.056,0.006,0.077,filter_27
0.045,0.26,0.037,0.024,0.095,filter_28
-0.02,-0.028,-0.03,-0.001,-0.009,filter_29
-0.101,-0.088,-0.138,-0.048,-0.041,filter_30
-0.056,0.133,-0.052,0.031,0.077,filter_31
-0.25,-0.338,-0.27,-0.087,-0.136,filter_32
0.043,0.086,0.0,0.049,0.106,filter_33
0.09,0.263,0.043,0.024,0.112,filter_34
-0.048,-0.203,-0.05,-0.049,-0.092,filter_35
-0.095,-0.159,-0.125,-0.043,-0.05,filter_36
-0.007,0.035,-0.068,-0.006,0.04,filter_37
-0.106,0.099,-0.128,0.03,0.035,filter_38
-0.412,-0.451,-0.42,-0.112,-0.145,filter_39
-0.14,-0.152,-0.18,-0.058,-0.036,filter_40
-0.016,0.123,-0.034,-0.012,0.056,filter_41
0.062,0.095,0.009,-0.022,0.006,filter_42
0.08,0.145,0.01,-0.017,0.06,filter_43
0.058,-0.082,-0.002,0.021,0.037,filter_44
-0.12,-0.059,-0.148,-0.062,-0.002,filter_45
0.008,-0.172,-0.014,-0.019,-0.083,filter_46
-0.039,0.008,-0.087,-0.018,0.031,filter_47
-0.139,-0.042,-0.159,-0.037,0.034,filter_48
-0.333,-0.304,-0.346,-0.078,-0.102,filter_49
-0.177,-0.136,-0.172,-0.045,-0.014,filter_50
-0.056,-0.017,-0.098,-0.001,0.017,filter_51
-0.328,-0.306,-0.324,-0.117,-0.12,filter_52
-0.278,-0.123,-0.302,-0.073,-0.045,filter_53
0.032,0.036,-0.022,0.001,0.065,filter_54
-0.493,-0.355,-0.466,-0.13,-0.123,filter_55
-0.365,-0.353,-0.354,-0.089,-0.115,filter_56
0.07,0.181,0.033,-0.001,0.071,filter_57
-0.34,-0.258,-0.374,-0.078,-0.035,filter_58
-0.125,-0.251,-0.165,-0.024,-0.053,filter_59
-0.068,0.118,-0.063,-0.006,0.017,filter_60
0.005,0.124,-0.017,-0.01,0.025,filter_61
-0.376,-0.342,-0.358,-0.105,-0.114,filter_62
0.046,-0.047,0.014,0.016,0.034,filter_63
0.001,0.057,-0.051,0.002,0.056,filter_64
0.002,0.131,-0.03,-0.003,0.035,filter_65
0.007,-0.063,-0.014,0.02,0.038,filter_66
0.046,0.256,-0.009,0.02,0.076,filter_67
-0.258,-0.258,-0.267,-0.033,-0.038,filter_68
-0.317,-0.302,-0.32,-0.121,-0.119,filter_69
-0.334,-0.246,-0.354,-0.092,-0.052,filter_70
0.051,0.116,-0.004,0.032,0.061,filter_71
-0.073,-0.21,-0.066,-0.036,-0.09,filter_72
0.013,0.283,-0.004,0.026,0.092,filter_73
-0.167,0.123,-0.152,-0.033,0.043,filter_74
0.083,0.295,0.037,0.016,0.101,filter_75
0.067,0.208,0.052,-0.013,0.079,filter_76
-0.346,-0.226,-0.337,-0.073,-0.018,filter_77
-0.154,0.075,-0.138,-0.056,0.013,filter_78
0.088,0.282,0.027,0.002,0.09,filter_79
-0.31,-0.357,-0.317,-0.079,-0.107,filter_80
-0.326,-0.131,-0.298,-0.101,-0.063,filter_81
-0.058,-0.123,-0.104,-0.043,-0.01,filter_82
0.045,0.242,0.026,0.02,0.096,filter_83
-0.503,-0.345,-0.48,-0.122,-0.092,filter_84
0.019,0.137,-0.023,-0.011,-0.001,filter_85
0.045,0.126,0.032,0.045,0.06,filter_86
-0.01,-0.249,-0.022,-0.007,-0.088,filter_87
0.02,-0.162,0.002,-0.002,-0.07,filter_88
-0.022,0.106,-0.036,0.031,0.072,filter_89
0.029,-0.024,-0.035,0.013,0.035,filter_90
0.103,0.187,0.055,0.04,0.058,filter_91
-0.061,0.174,-0.047,0.022,0.058,filter_92
0.056,0.188,0.052,0.025,0.103,filter_93
0.016,-0.19,-0.014,-0.025,-0.071,filter_94
0.041,-0.055,-0.021,0.0,-0.021,filter_95
-0.332,-0.213,-0.317,-0.086,-0.062,filter_96
-0.17,-0.11,-0.178,-0.017,0.012,filter_97
-0.222,-0.233,-0.219,-0.023,-0.048,filter_98
-0.179,-0.358,-0.198,-0.07,-0.161,filter_99
-0.0,-0.204,-0.014,-0.033,-0.086,filter_100
-0.494,-0.21,-0.442,-0.099,-0.066,filter_101
0.061,0.302,0.002,0.019,0.089,filter_102
-0.343,-0.329,-0.315,-0.1,-0.125,filter_103
0.016,0.06,0.006,-0.004,0.016,filter_104
-0.099,0.186,-0.097,0.034,0.055,filter_105
0.043,-0.022,0.009,-0.022,-0.035,filter_106
-0.134,0.068,-0.134,-0.01,0.054,filter_107
-0.049,0.028,-0.05,0.01,0.039,filter_108
-0.032,0.062,-0.056,0.007,0.055,filter_109
0.063,0.218,0.018,0.01,0.083,filter_110
-0.085,0.15,-0.084,-0.021,0.074,filter_111
0.009,-0.195,0.013,0.021,-0.049,filter_112
-0.004,0.243,-0.042,-0.01,0.093,filter_113
0.015,0.165,-0.013,0.048,0.072,filter_114
0.036,-0.095,0.001,-0.009,-0.042,filter_115
-0.151,-0.162,-0.152,-0.062,-0.09,filter_116
-0.304,-0.385,-0.294,-0.114,-0.175,filter_117
0.022,0.236,-0.026,0.053,0.103,filter_118
-0.066,0.207,-0.076,0.022,0.058,filter_119
-0.004,0.067,-0.043,-0.019,0.031,filter_120
0.05,-0.055,0.006,0.045,0.025,filter_121
-0.184,-0.216,-0.199,-0.001,-0.017,filter_122
-0.136,-0.099,-0.164,-0.044,0.001,filter_123
-0.315,-0.384,-0.305,-0.06,-0.109,filter_124
-0.199,0.021,-0.199,-0.052,0.023,filter_125
-0.328,-0.203,-0.32,-0.085,-0.057,filter_126
-0.084,-0.071,-0.126,-0.024,0.021,filter_127
-0.079,0.069,-0.077,-0.016,0.002,filter_128
-0.367,-0.417,-0.383,-0.115,-0.172,filter_129
-0.096,0.043,-0.09,0.019,0.015,filter_130
-0.0,0.154,-0.034,0.008,0.055,filter_131
0.094,0.087,0.03,0.014,0.104,filter_132
0.063,0.101,0.021,-0.033,0.041,filter_133
-0.031,-0.047,-0.066,0.004,0.019,filter_134
-0.172,-0.189,-0.203,-0.081,-0.073,filter_135
0.075,0.061,0.06,0.038,0.075,filter_136
-0.257,-0.281,-0.29,-0.086,-0.117,filter_137
0.002,0.063,-0.024,-0.004,0.021,filter_138
0.014,0.119,0.008,0.07,0.089,filter_139
0.065,0.193,0.029,0.004,0.08,filter_140
0.071,0.167,0.05,-0.006,0.049,filter_141
0.052,0.152,0.029,0.012,0.063,filter_142
-0.05,0.117,-0.032,0.003,0.037,filter_143
0.054,0.124,0.034,-0.009,0.028,filter_144
-0.072,0.044,-0.105,-0.013,0.009,filter_145
-0.043,-0.062,-0.087,0.007,-0.014,filter_146
0.089,0.24,0.024,0.015,0.098,filter_147
-0.018,0.073,-0.042,0.036,0.036,filter_148
-0.226,-0.23,-0.221,-0.042,-0.044,filter_149
0.026,0.131,-0.01,-0.031,0.028,filter_150
0.024,-0.255,0.043,-0.04,-0.095,filter_151
0.031,0.245,0.002,-0.02,0.07,filter_152
-0.108,0.129,-0.135,-0.025,0.062,filter_153
0.018,-0.086,-0.004,0.006,-0.01,filter_154
-0.106,0.046,-0.137,-0.02,0.023,filter_155
0.063,0.159,0.03,0.001,-0.036,filter_156
-0.091,0.059,-0.114,-0.021,0.061,filter_157
-0.035,0.004,-0.067,-0.011,0.034,filter_158
-0.257,-0.185,-0.276,-0.073,-0.028,filter_159
-0.049,-0.299,-0.059,-0.029,-0.119,filter_160
0.024,0.149,-0.02,-0.013,0.059,filter_161
-0.357,-0.294,-0.347,-0.058,-0.064,filter_162
0.022,0.063,-0.004,0.011,0.053,filter_163
-0.063,-0.04,-0.103,-0.04,-0.026,filter_164
0.007,0.086,-0.018,0.032,0.068,filter_165
-0.032,0.259,-0.03,0.007,0.086,filter_166
-0.118,-0.066,-0.15,-0.064,-0.035,filter_167
-0.148,-0.018,-0.144,-0.043,-0.037,filter_168
-0.055,-0.106,-0.065,-0.002,-0.037,filter_169
-0.053,0.183,-0.072,-0.015,0.016,filter_170
-0.199,-0.034,-0.227,-0.046,-0.003,filter_171
-0.007,-0.111,-0.044,-0.025,-0.025,filter_172
-0.057,-0.203,-0.046,-0.033,-0.075,filter_173
0.067,0.124,0.017,0.013,0.048,filter_174
-0.253,-0.009,-0.248,-0.049,0.031,filter_175
-0.119,-0.101,-0.136,-0.035,-0.014,filter_176
-0.04,0.231,-0.05,-0.034,0.066,filter_177
,,,,,filter_178
-0.036,0.07,-0.068,-0.006,0.038,filter_179
-0.021,0.022,-0.039,-0.015,-0.007,filter_180
-0.562,-0.233,-0.496,-0.121,-0.086,filter_181
0.067,0.123,0.043,-0.006,0.025,filter_182
-0.157,-0.343,-0.179,-0.09,-0.147,filter_183
-0.059,0.104,-0.046,-0.01,0.044,filter_184
0.073,0.22,0.036,0.047,0.088,filter_185
-0.306,-0.118,-0.286,-0.082,-0.028,filter_186
-0.05,0.212,-0.066,-0.004,0.084,filter_187
0.068,0.104,0.027,0.016,0.065,filter_188
-0.261,-0.213,-0.269,-0.035,-0.041,filter_189
0.066,-0.076,0.059,0.059,0.039,filter_190
-0.168,-0.069,-0.182,0.002,0.051,filter_191
-0.069,-0.105,-0.063,-0.003,-0.039,filter_192
0.045,0.245,0.029,0.039,0.091,filter_193
-0.11,-0.003,-0.106,-0.016,0.037,filter_194
-0.396,-0.404,-0.381,-0.117,-0.175,filter_195
-0.496,-0.323,-0.454,-0.111,-0.091,filter_196
-0.432,-0.248,-0.4,-0.125,-0.101,filter_197
0.087,0.195,0.028,0.013,0.069,filter_198
0.083,0.235,0.078,0.012,0.059,filter_199
-0.082,0.183,-0.077,-0.009,0.052,filter_200
0.089,0.222,0.034,-0.019,0.05,filter_201
-0.297,-0.388,-0.295,-0.115,-0.195,filter_202
-0.302,-0.177,-0.316,-0.069,-0.025,filter_203
0.049,0.28,0.024,0.001,0.107,filter_204
-0.01,0.002,-0.085,-0.008,0.038,filter_205
-0.007,-0.041,-0.026,0.017,-0.042,filter_206
-0.447,-0.387,-0.431,-0.126,-0.137,filter_207
-0.414,-0.387,-0.405,-0.07,-0.074,filter_208
0.096,0.29,0.062,0.068,0.146,filter_209
0.061,0.286,0.024,0.021,0.124,filter_210
-0.122,-0.012,-0.155,-0.002,0.043,filter_211
0.057,0.128,0.021,0.013,0.063,filter_212
-0.37,-0.421,-0.366,-0.092,-0.149,filter_213
-0.539,-0.343,-0.504,-0.126,-0.09,filter_214
0.031,-0.12,-0.012,0.015,-0.047,filter_215
-0.053,0.167,-0.075,0.015,0.062,filter_216
-0.085,-0.068,-0.13,-0.005,-0.011,filter_217
-0.193,0.028,-0.191,-0.051,0.008,filter_218
,,,,,filter_219
0.062,0.043,0.064,0.004,0.029,filter_220
0.023,-0.106,-0.037,0.014,-0.017,filter_221
0.113,0.148,0.056,0.059,0.086,filter_222
0.029,-0.132,0.02,-0.029,-0.047,filter_223
0.036,0.011,-0.004,-0.002,0.004,filter_224
-0.341,-0.406,-0.353,-0.13,-0.156,filter_225
-0.072,-0.076,-0.095,-0.029,-0.027,filter_226
-0.526,-0.351,-0.48,-0.127,-0.12,filter_227
-0.021,-0.06,-0.076,-0.005,0.025,filter_228
-0.176,-0.08,-0.21,-0.038,0.021,filter_229
-0.1,-0.006,-0.109,-0.034,0.017,filter_230
0.018,0.253,-0.0,0.034,0.087,filter_231
-0.026,-0.184,-0.027,-0.013,-0.067,filter_232
-0.084,0.03,-0.127,-0.035,0.012,filter_233
-0.158,0.096,-0.146,-0.022,0.041,filter_234
-0.07,-0.304,-0.079,-0.023,-0.05,filter_235
-0.284,-0.31,-0.295,-0.102,-0.126,filter_236
-0.02,0.201,-0.046,0.046,0.124,filter_237
0.041,0.111,0.019,0.03,0.02,filter_238
-0.03,-0.003,-0.074,-0.015,0.008,filter_239
-0.101,0.061,-0.092,0.031,0.031,filter_240
-0.372,-0.338,-0.364,-0.081,-0.112,filter_241
0.09,0.136,0.026,-0.015,0.049,filter_242
-0.084,-0.019,-0.109,-0.015,0.003,filter_243
-0.022,0.136,-0.021,0.047,0.108,filter_244
0.063,0.065,-0.022,-0.007,0.023,filter_245
-0.444,-0.369,-0.429,-0.14,-0.156,filter_246
-0.068,0.01,-0.078,0.029,0.027,filter_247
0.015,-0.187,0.004,0.001,-0.025,filter_248
-0.152,-0.001,-0.16,-0.04,0.039,filter_249
-0.251,-0.428,-0.278,-0.098,-0.144,filter_250
0.031,0.083,0.002,0.022,0.058,filter_251
-0.302,-0.321,-0.306,-0.062,-0.093,filter_252
-0.099,0.097,-0.125,-0.058,0.048,filter_253
0.041,0.004,-0.001,-0.008,-0.038,filter_254
-0.181,-0.277,-0.213,-0.092,-0.142,filter_255
